Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 14:18:17
Elapsed Time,00:00:09:974
Samples,1693

--Statistics--
Minimum [W],7.7399E-05
Maximum [W],0.00012807
Mean [W],0.00011702
Standard Deviation [W],2.0368E-05
Ratio,1.655 : 1

--Graph Data--
Time (ms),Power (W)
2077.000,0.00012425
2102.000,0.00012694
2105.000,0.00012723
2108.000,0.00012725
2112.000,0.00012739
2115.000,0.00012737
2118.000,0.00012741
2121.000,0.00012752
2125.000,0.0001274
2131.000,0.00012754
2135.000,0.0001275
2139.000,0.00012743
2142.000,0.00012748
2146.000,0.00012743
2150.000,0.00012743
2153.000,0.00012743
2157.000,0.00012741
2160.000,0.00012744
2163.000,0.00012741
2167.000,0.00012748
2170.000,0.00012744
2174.000,0.0001275
2177.000,0.00012745
2204.000,0.00012718
2207.000,0.00012708
2210.000,0.0001271
2213.000,0.00012708
2216.000,0.00012709
2220.000,0.00012722
2223.000,0.00012722
2226.000,0.00012733
2252.000,0.00012724
2255.000,0.00012729
2259.000,0.0001273
2262.000,0.00012725
2266.000,0.00012727
2269.000,0.00012729
2272.000,0.00012729
2308.000,0.00012741
2315.000,0.00012743
2318.000,0.00012748
2322.000,0.00012753
2325.000,0.00012754
2353.000,0.00012756
2356.000,0.00012765
2359.000,0.00012766
2363.000,0.00012762
2366.000,0.00012762
2369.000,0.00012764
2373.000,0.00012764
2376.000,0.00012765
2401.000,0.00012763
2411.000,0.00012768
2415.000,0.00012762
2418.000,0.00012763
2422.000,0.00012763
2425.000,0.00012765
2431.000,0.00012766
2434.000,0.00012761
2437.000,0.00012762
2440.000,0.00012764
2443.000,0.00012766
2447.000,0.00012769
2450.000,0.00012767
2453.000,0.00012767
2457.000,0.00012768
2461.000,0.00012767
2464.000,0.00012767
2467.000,0.00012763
2470.000,0.0001276
