Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 13:24:27
Elapsed Time,00:00:09:999
Samples,1694

--Statistics--
Minimum [W],0.00050163
Maximum [W],0.00092187
Mean [W],0.00085604
Standard Deviation [W],9.4286E-05
Ratio,1.838 : 1

--Graph Data--
Time (ms),Power (W)
1072.000,0.00073277
1098.000,0.00073358
1101.000,0.00073873
1104.000,0.00073896
1107.000,0.00073919
1111.000,0.00074004
1114.000,0.00074085
1117.000,0.00074147
1120.000,0.00074212
1124.000,0.00074307
1149.000,0.00074916
1153.000,0.00074968
1157.000,0.00075027
1160.000,0.00075043
1164.000,0.00075134
1167.000,0.00075222
1171.000,0.00075307
1199.000,0.00075369
1202.000,0.00076105
1206.000,0.00076115
1209.000,0.00076151
1213.000,0.0007621
1216.000,0.00076229
1223.000,0.00076307
1248.000,0.00076409
1251.000,0.00077093
1255.000,0.00077158
1258.000,0.00077204
1262.000,0.00077207
1265.000,0.00077207
1268.000,0.00077249
1272.000,0.00077249
1297.000,0.00077337
1300.000,0.0007794
1306.000,0.00078002
1309.000,0.00078025
1312.000,0.00078041
1316.000,0.00078031
1319.000,0.00078038
1322.000,0.00078025
1326.000,0.00078041
1329.000,0.000781
1333.000,0.00078155
1336.000,0.00078237
1340.000,0.00078305
1343.000,0.00078413
1346.000,0.00078481
1350.000,0.0007853
1353.000,0.00078611
1356.000,0.00078654
1360.000,0.00078696
1363.000,0.00078693
1366.000,0.00078722
1370.000,0.00078719
1373.000,0.00078735
1401.000,0.00079133
1405.000,0.00079227
1408.000,0.00079286
1412.000,0.00079322
1415.000,0.00079325
1418.000,0.00079332
1421.000,0.00079305
1447.000,0.00079328
1451.000,0.00079582
1455.000,0.00079654
1458.000,0.00079719
1461.000,0.00079755
1465.000,0.00079794
1468.000,0.0007983
1471.000,0.00079811
1502.000,0.00080013
1505.000,0.00080052
1509.000,0.0008014
1512.000,0.00080211
1516.000,0.00080251
1519.000,0.00080247
1522.000,0.00080241
1548.000,0.0008026
1551.000,0.00080267
1555.000,0.0008029
1558.000,0.00080355
1562.000,0.00080459
1565.000,0.00080547
1568.000,0.00080573
1572.000,0.00080583
1599.000,0.00080632
1604.000,0.00080677
1607.000,0.00080743
1611.000,0.00080824
1614.000,0.00080922
1617.000,0.00081
1621.000,0.00081095
1625.000,0.00081134
1639.000,0.00081192
1642.000,0.00081173
1646.000,0.00081182
1649.000,0.00081192
1652.000,0.00081241
1656.000,0.00081274
1659.000,0.00081371
1663.000,0.00081433
1666.000,0.00081521
1669.000,0.00081642
1673.000,0.00081717
1698.000,0.00081753
1702.000,0.00081831
1705.000,0.00081899
1708.000,0.00081939
1712.000,0.00082007
1715.000,0.00082121
1719.000,0.00082219
1722.000,0.00082317
1747.000,0.00082411
1752.000,0.00082444
1758.000,0.00082506
1762.000,0.00082522
1765.000,0.00082571
1769.000,0.00082646
1772.000,0.00082763
1802.000,0.00082851
1805.000,0.00082975
1808.000,0.00083007
