Optical Parameter Monitor,,,,,Start angle scan
7.0.5319.1035,,,,,Angle = 180.00 deg
Delimiter Used: ; ';',,,,,Angle = 184.99 deg
,,,,,Angle = 190.00 deg
Start of Measurement ; 2/2/2026 15:11:10,,,,,Angle = 194.99 deg
Sample Interval ; 1 s,,,,,Angle = 200.01 deg
; PM100D 250305506,,,,,Angle = 205.01 deg
Type; PM100D,,,,,Angle = 209.99 deg
Serialnumber; P0046669,,,,,Angle = 215.00 deg
Sensor; S120C,,,,,Angle = 220.00 deg
SensorSerialnumber; 250305506,,,,,Angle = 225.00 deg
Wavelength / Responsivity; 633 nm,,,,,Angle = 230.01 deg
,,,,,Angle = 235.00 deg
;;;PM100D 250305506; ,,,,,Angle = 239.99 deg
Samples ;Date (MM/dd/yyyy) ;Time of day (hh:mm:ss) ;Power (W);,,,,,Angle = 244.99 deg
125; 2/2/2026; 15:13:17.905;3,3.31E-02,,,,
126; 2/2/2026; 15:13:18.921;1,5.42E-02,,,,
127; 2/2/2026; 15:13:19.937;1,5.37E-02,,,,
128; 2/2/2026; 15:13:20.962;1,5.38E-02,,,,
129; 2/2/2026; 15:13:21.976;1,5.51E-02,,,,
130; 2/2/2026; 15:13:22.990;1,5.24E-02,,,,
131; 2/2/2026; 15:13:24.019;5,5.72E-04,,,,
132; 2/2/2026; 15:13:25.050;5,5.36E-03,,,,
133; 2/2/2026; 15:13:26.055;5,5.71E-03,,,,
134; 2/2/2026; 15:13:27.075;5,5.28E-03,,,,
135; 2/2/2026; 15:13:28.076;5,5.42E-03,,,,
136; 2/2/2026; 15:13:29.089;5,5.61E-03,,,,
137; 2/2/2026; 15:13:30.104;1,2.76E-03,,,,
138; 2/2/2026; 15:13:31.133;1,2.61E-03,,,,
139; 2/2/2026; 15:13:32.161;1,2.59E-03,,,,
140; 2/2/2026; 15:13:33.186;1,2.65E-03,,,,
141; 2/2/2026; 15:13:34.198;1,2.54E-03,,,,
142; 2/2/2026; 15:13:35.226;1,8.37E-04,,,,
143; 2/2/2026; 15:13:36.226;1,7.19E-04,,,,
144; 2/2/2026; 15:13:37.227;1,8.37E-05,,,,
145; 2/2/2026; 15:13:38.242;1,7.19E-04,,,,
146; 2/2/2026; 15:13:39.258;1,8.29E-04,,,,
147; 2/2/2026; 15:13:40.267;3,2.14E-04,,,,
148; 2/2/2026; 15:13:41.296;3,1.90E-04,,,,
149; 2/2/2026; 15:13:42.312;3,2.08E-04,,,,
150; 2/2/2026; 15:13:43.318;3,2.36E-05,,,,
151; 2/2/2026; 15:13:44.330;3,3.14E-04,,,,
